SUBZONE_N,ServiceNo
STRAITS VIEW,400
STRAITS VIEW,402
MARITIME SQUARE,10
MARITIME SQUARE,100
MARITIME SQUARE,120
MARITIME SQUARE,143
MARITIME SQUARE,166
MARITIME SQUARE,176
MARITIME SQUARE,188
MARITIME SQUARE,188R
MARITIME SQUARE,30
MARITIME SQUARE,57
MARITIME SQUARE,61
MARITIME SQUARE,93
MARITIME SQUARE,963
MARITIME SQUARE,963R
MARITIME SQUARE,97
MARITIME SQUARE,97e
MARITIME SQUARE,123
MARITIME SQUARE,123M
MARITIME SQUARE,131
MARITIME SQUARE,145
MARITIME SQUARE,30e
MARITIME SQUARE,65
MARITIME SQUARE,80
MARITIME SQUARE,855
MARITIME SQUARE,NR1
MARITIME SQUARE,NR6
MARITIME SQUARE,RWS8
MARITIME SQUARE,124
MARITIME SQUARE,408
MARITIME SQUARE,188E
MARITIME SQUARE,963E
MARITIME SQUARE,273
MARITIME SQUARE,195
TELOK BLANGAH WAY,121
TELOK BLANGAH WAY,123
TELOK BLANGAH WAY,123M
TELOK BLANGAH WAY,131
TELOK BLANGAH WAY,131M
TELOK BLANGAH WAY,195
TELOK BLANGAH WAY,65
TELOK BLANGAH WAY,855
TELOK BLANGAH WAY,124
TELOK BLANGAH WAY,272
TELOK BLANGAH WAY,145
TELOK BLANGAH WAY,176
TELOK BLANGAH WAY,273
TELOK BLANGAH WAY,408
MAXWELL,145
MAXWELL,80
CECIL,10
CECIL,100
CECIL,106
CECIL,107
CECIL,10e
CECIL,128
CECIL,130
CECIL,131
CECIL,133
CECIL,162
CECIL,167
CECIL,186
CECIL,196
CECIL,196e
CECIL,400
CECIL,402
CECIL,502
CECIL,513
CECIL,530
CECIL,531
CECIL,546
CECIL,57
CECIL,587
CECIL,588
CECIL,590
CECIL,598
CECIL,599
CECIL,70
CECIL,700
CECIL,75
CECIL,850E
CECIL,951E
CECIL,538
CECIL,539
CECIL,544
CECIL,545
CECIL,552
CECIL,553
CECIL,554
CECIL,585
CECIL,589
CECIL,868
CECIL,97
CECIL,97e
CECIL,982E
CECIL,533
CECIL,534
CECIL,535
CECIL,536
CECIL,549
CECIL,555
CECIL,560
CECIL,561
CECIL,563
CECIL,564
CECIL,565
CECIL,569
CECIL,761
CECIL,970
CECIL,971E
KAMPONG TIONG BAHRU,120
KAMPONG TIONG BAHRU,121
KAMPONG TIONG BAHRU,147
KAMPONG TIONG BAHRU,167
KAMPONG TIONG BAHRU,175
KAMPONG TIONG BAHRU,196
KAMPONG TIONG BAHRU,197
KAMPONG TIONG BAHRU,961
KAMPONG TIONG BAHRU,961C
KAMPONG TIONG BAHRU,123
KAMPONG TIONG BAHRU,123M
KAMPONG TIONG BAHRU,131
KAMPONG TIONG BAHRU,131M
KAMPONG TIONG BAHRU,195
KAMPONG TIONG BAHRU,65
KAMPONG TIONG BAHRU,855
KAMPONG TIONG BAHRU,124
KAMPONG TIONG BAHRU,143
KAMPONG TIONG BAHRU,166
KAMPONG TIONG BAHRU,61
TELOK BLANGAH DRIVE,10
TELOK BLANGAH DRIVE,100
TELOK BLANGAH DRIVE,120
TELOK BLANGAH DRIVE,143
TELOK BLANGAH DRIVE,166
TELOK BLANGAH DRIVE,176
TELOK BLANGAH DRIVE,188
TELOK BLANGAH DRIVE,188R
TELOK BLANGAH DRIVE,30
TELOK BLANGAH DRIVE,57
TELOK BLANGAH DRIVE,61
TELOK BLANGAH DRIVE,93
TELOK BLANGAH DRIVE,963
TELOK BLANGAH DRIVE,963R
TELOK BLANGAH DRIVE,97
TELOK BLANGAH DRIVE,97e
TELOK BLANGAH DRIVE,30e
TELOK BLANGAH DRIVE,175
TELOK BLANGAH DRIVE,408
TELOK BLANGAH DRIVE,51
TELOK BLANGAH DRIVE,963E
TELOK BLANGAH DRIVE,124
TELOK BLANGAH DRIVE,273
TELOK BLANGAH DRIVE,131
TELOK BLANGAH DRIVE,145
TELOK BLANGAH DRIVE,195
TELOK BLANGAH DRIVE,272
PASIR PANJANG 2,10
PASIR PANJANG 2,143
PASIR PANJANG 2,175
PASIR PANJANG 2,176
PASIR PANJANG 2,188
PASIR PANJANG 2,188E
PASIR PANJANG 2,30
PASIR PANJANG 2,30e
PASIR PANJANG 2,51
PASIR PANJANG 2,100
PASIR PANJANG 2,120
PASIR PANJANG 2,166
PASIR PANJANG 2,408
PASIR PANJANG 2,57
PASIR PANJANG 2,61
PASIR PANJANG 2,93
PASIR PANJANG 2,963
PASIR PANJANG 2,963E
PASIR PANJANG 2,963R
PASIR PANJANG 2,97
PASIR PANJANG 2,97e
PASIR PANJANG 2,200
CENTRAL SUBZONE,10
CENTRAL SUBZONE,100
CENTRAL SUBZONE,107
CENTRAL SUBZONE,10e
CENTRAL SUBZONE,128
CENTRAL SUBZONE,130
CENTRAL SUBZONE,131
CENTRAL SUBZONE,162
CENTRAL SUBZONE,167
CENTRAL SUBZONE,186
CENTRAL SUBZONE,196
CENTRAL SUBZONE,196e
CENTRAL SUBZONE,57
CENTRAL SUBZONE,70
CENTRAL SUBZONE,700
CENTRAL SUBZONE,75
CENTRAL SUBZONE,850E
CENTRAL SUBZONE,951E
CENTRAL SUBZONE,970
CENTRAL SUBZONE,971E
CENTRAL SUBZONE,502
CENTRAL SUBZONE,530
CENTRAL SUBZONE,531
CENTRAL SUBZONE,546
CENTRAL SUBZONE,587
CENTRAL SUBZONE,588
CENTRAL SUBZONE,590
CENTRAL SUBZONE,598
CENTRAL SUBZONE,599
CENTRAL SUBZONE,97
CENTRAL SUBZONE,97e
CENTRAL SUBZONE,982E
CENTRAL SUBZONE,106
CENTRAL SUBZONE,133
CENTRAL SUBZONE,400
CENTRAL SUBZONE,402
CENTRAL SUBZONE,513
CENTRAL SUBZONE,502A
SINGAPORE GENERAL HOSPITAL,12
SINGAPORE GENERAL HOSPITAL,120
SINGAPORE GENERAL HOSPITAL,121
SINGAPORE GENERAL HOSPITAL,122
SINGAPORE GENERAL HOSPITAL,174
SINGAPORE GENERAL HOSPITAL,174e
SINGAPORE GENERAL HOSPITAL,190
SINGAPORE GENERAL HOSPITAL,2
SINGAPORE GENERAL HOSPITAL,54
SINGAPORE GENERAL HOSPITAL,CT18
SINGAPORE GENERAL HOSPITAL,CT28
SINGAPORE GENERAL HOSPITAL,CT8
SINGAPORE GENERAL HOSPITAL,167
SINGAPORE GENERAL HOSPITAL,196
SINGAPORE GENERAL HOSPITAL,124
SINGAPORE GENERAL HOSPITAL,143
SINGAPORE GENERAL HOSPITAL,147
SINGAPORE GENERAL HOSPITAL,166
SINGAPORE GENERAL HOSPITAL,197
SINGAPORE GENERAL HOSPITAL,61
SINGAPORE GENERAL HOSPITAL,961
SINGAPORE GENERAL HOSPITAL,961C
SINGAPORE GENERAL HOSPITAL,33
SINGAPORE GENERAL HOSPITAL,63
SINGAPORE GENERAL HOSPITAL,75
SINGAPORE GENERAL HOSPITAL,851
SINGAPORE GENERAL HOSPITAL,970
DEPOT ROAD,175
DEPOT ROAD,195
DEPOT ROAD,408
DEPOT ROAD,57
PEOPLE'S PARK,12
PEOPLE'S PARK,143
PEOPLE'S PARK,197
PEOPLE'S PARK,2
PEOPLE'S PARK,33
PEOPLE'S PARK,61
PEOPLE'S PARK,63
PEOPLE'S PARK,80
PEOPLE'S PARK,961
PEOPLE'S PARK,961C
PEOPLE'S PARK,970
PEOPLE'S PARK,CT18
PEOPLE'S PARK,CT28
PEOPLE'S PARK,CT8
PEOPLE'S PARK,121
PEOPLE'S PARK,122
PEOPLE'S PARK,174
PEOPLE'S PARK,174e
PEOPLE'S PARK,534
PEOPLE'S PARK,535
PEOPLE'S PARK,549
PEOPLE'S PARK,561
PEOPLE'S PARK,565
PEOPLE'S PARK,569
PEOPLE'S PARK,75
PEOPLE'S PARK,761
PEOPLE'S PARK,851
PEOPLE'S PARK,124
PEOPLE'S PARK,147
PEOPLE'S PARK,166
PEOPLE'S PARK,190
PEOPLE'S PARK,54
BUKIT MERAH,123
BUKIT MERAH,131
BUKIT MERAH,131M
BUKIT MERAH,132
BUKIT MERAH,139
BUKIT MERAH,153
BUKIT MERAH,16
BUKIT MERAH,167
BUKIT MERAH,176
BUKIT MERAH,198
BUKIT MERAH,272
BUKIT MERAH,273
BUKIT MERAH,5
BUKIT MERAH,57
BUKIT MERAH,851
BUKIT MERAH,14
BUKIT MERAH,147
BUKIT MERAH,196
BUKIT MERAH,197
BUKIT MERAH,855
BUKIT MERAH,961
BUKIT MERAH,961C
BUKIT MERAH,175
BUKIT MERAH,145
CHINATOWN,12
CHINATOWN,124
CHINATOWN,143
CHINATOWN,147
CHINATOWN,190
CHINATOWN,2
CHINATOWN,33
CHINATOWN,54
CHINATOWN,63
CHINATOWN,851
CHINATOWN,961
CHINATOWN,961C
CHINATOWN,970
CHINATOWN,CT18
CHINATOWN,CT28
CHINATOWN,CT8
CHINATOWN,174
CHINATOWN,174e
CHINATOWN,186
